연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1369,일반음식점,시골마당,"세종특별자치시 아름서1길 13-4, 영토빌딩 2층 201호 (아름동)",세종특별자치시 아름동 1332 영토빌딩 ,044 -862 -8508,2025-06-09
1370,일반음식점,카페뱅크,"세종특별자치시 한누리대로 350, 지하1층 (어진동, 뱅크빌딩)",세종특별자치시 어진동 686 뱅크빌딩 ,044 -865 -0926,2025-06-09
1371,일반음식점,복누룽지삼계탕,세종특별자치시 장군면 산학리길 16-19,세종특별자치시 장군면 은용리 17-2 ,044 -865 -0044,2025-06-09
1372,일반음식점,구디 커피,"세종특별자치시 연서면 도신고복로 913, 2층",세종특별자치시 연서면 고복리 442-2 ,,2025-06-09
1373,일반음식점,청주가야밀면,"세종특별자치시 연서면 대첩로 150, 1층 (좌측)",세종특별자치시 연서면 월하리 952-1 ,044 -868 -1810,2025-06-09
1374,일반음식점,카페수작(Cafe Suzak),세종특별자치시 조치원읍 원마루길 28-1,세종특별자치시 조치원읍 서창리 182-20 ,,2025-06-09
1375,일반음식점,본세종민물장어,"세종특별자치시 연서면 대첩로 150, 1동 (우측)",세종특별자치시 연서면 월하리 952-1 ,044 -863 -0684,2025-06-09
1376,일반음식점,우리들의공간 커피&펍,"세종특별자치시 연기면 조뱅이길 76-15, 2층",세종특별자치시 연기면 수산리 90 ,,2025-06-09
1377,일반음식점,장군치킨호프,"세종특별자치시 장군면 장척로 569, 1층 105,106호",세종특별자치시 장군면 봉안리 377-4 ,044 -864 -1799,2025-06-09
1378,일반음식점,정직유부 세종보람점,"세종특별자치시 남세종로 462, 위너스타워 1층 113호 (보람동)",세종특별자치시 보람동 700-76 위너스타워 ,,2025-06-09
1379,일반음식점,서리서리 멸치국수 세종시청점,"세종특별자치시 호려울로 19, 1층 107,108호 (보람동, 스마트허브3)",세종특별자치시 보람동 628-5 스마트허브Ⅲ ,044 -862 -2955,2025-06-09
1380,일반음식점,행복무지개,"세종특별자치시 조치원읍 죽림로 27, 1층",세종특별자치시 조치원읍 죽림리 100-2 ,044 -863 -1700,2025-06-09
1381,일반음식점,바른치킨 새롬점,"세종특별자치시 새롬북로 13, 상가1동 1층 115호 (새롬동, 새뜸마을4단지)",세종특별자치시 새롬동 373 새뜸마을4단지 ,,2025-06-09
1382,일반음식점,지코바치킨 도담2호점,"세종특별자치시 보람로 96, 상가동 지1층 109호 (도담동, 도램마을20단지)",세종특별자치시 도담동 633 도램마을20단지 ,044 - 862-9229,2025-06-09
1383,일반음식점,왕대박식당,"세종특별자치시 금남면 황용1길 48, 1층",세종특별자치시 금남면 황용리 440-2 ,,2025-06-09
